retailer,name,brand,package_size,instore_price,instore_was_price,online_price,online_was_price,save_percent,category_original,category_std
Woolworth,Grinders Espresso Coffee Beans 500g,Grinders,500g,17.5,25.0,17.5,25.0,0.3,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Sodastream Dishwasher Safe Carbonating Bottles Twin Pack each,Sodastream,each,17.5,17.5,17.5,17.5,0.0,"[""Cordials, Juices & Iced Teas""]",Tea
Woolworth,T2 Tea Melbourne Breakfast Black Tea Bags 25 pack,T2 Tea,25 pack,17.5,17.5,17.5,17.5,0.0,"[""Tea"",""Tea & Coffee""]",Tea
Woolworth,T2 Tea French Earl Grey Black Tea Bags 25 pack,T2 Tea,25 pack,17.5,17.5,17.5,17.5,0.0,"[""Tea"",""Tea & Coffee""]",Tea
Woolworth,Vittoria Coffee Decaffeinated Coffee Bags 20 pack,Vittoria,20 pack,17.5,17.5,17.5,17.5,0.0,"[""Coffee"",""Tea & Coffee""]",Coffee
Woolworth,Republica Organic Instant Coffee 100% Pure Decaffeinated 100g,Republica,100g,17.0,17.0,17.0,17.0,0.0,"[""Coffee"",""Tea & Coffee""]",Coffee
Woolworth,Lavazza Qualita Oro Ground Coffee 250g,Lavazza,250g,17.0,17.0,17.0,17.0,0.0,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Abstinence Non Alcoholic Blood Orange Aperitif 750mL,Abstinence,750mL,17.0,17.0,17.0,17.0,0.0,"[""Low & Non Alcoholic Drinks""]",Juice
Woolworth,Vittoria Espresso Ground Coffee 200g,Vittoria,200g,16.8,16.8,16.8,16.8,0.0,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Wood Fired Coffee Ground 500g,Wood Fired Coffee,500g,16.8,21.0,16.8,21.0,0.1999999999999999,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Wood Fired Coffee Beans 500g,Wood Fired Coffee,500g,16.8,21.0,16.8,21.0,0.1999999999999999,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Moccona Freeze Dried Instant Coffee Classic Medium Roast 200g,Moccona,200g,16.5,23.6,16.5,23.6,0.3008474576271187,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Moccona Freeze Dried Instant Coffee Specialty Blend Indulgence 200g,Moccona,200g,16.5,24.6,16.5,24.6,0.3292682926829268,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Moccona Freeze Dried Instant Coffee Classic Dark Roast 200g,Moccona,200g,16.5,23.6,16.5,23.6,0.3008474576271187,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Moccona Freeze Dried Instant Coffee Mocha Kenya Style 200g,Moccona,200g,16.5,23.6,16.5,23.6,0.3008474576271187,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Moccona Freeze Dried Instant Coffee Espresso Style Bold & Intense 200g,Moccona,200g,16.5,23.6,16.5,23.6,0.3008474576271187,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Moccona Freeze Dried Instant Coffee French Style Smooth & Rounded 200g,Moccona,200g,16.5,23.6,16.5,23.6,0.3008474576271187,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Jose Cuervo Margarita Cocktail Mix 1L,Jose Cuervo,1L,16.5,16.5,16.5,16.5,0.0,"[""Spirits"",""Low & Non Alcoholic Drinks""]",Non/Low Alcoholic
Woolworth,Moccona Freeze Dried Instant Coffee Specialty Blend Ristretto 200g,Moccona,200g,16.5,24.6,16.5,24.6,0.3292682926829268,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Moccona Freeze Dried Instant Coffee Specialty Blend Rich 200g,Moccona,200g,16.5,24.6,16.5,24.6,0.3292682926829268,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Moccona Freeze Dried Instant Coffee Specialty Blend Intense 200g,Moccona,200g,16.5,24.6,16.5,24.6,0.3292682926829268,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Vittoria Freeze Dried Decaffeinated Instant Coffee 100g,Vittoria,100g,16.2,16.2,16.2,16.2,0.0,"[""Coffee"",""Tea & Coffee""]",Coffee
Woolworth,Monster Energy Drink Ultra Peachy Keen Cans 500mL x 4 pack,Monster,500mL x 4 pack,16.0,16.0,16.0,16.0,0.0,"[""Sports & Energy Drinks""]",Sport & Energy
